Player,TEAM,POS,AGE,GP,MPG,Minutes Percentage,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,Effective Shooting Percentage,True Shooting Percentage,Points per game,Rebounds per game,Total Rebound Percentage,Assists per game,Assist Percentage,Steals per game,Blocks per game,Turnovers per game.,Versatility index,Offensive Rating,Defensive Rating
Frank Kaminsky,Pho,F-C,27.89,23,15.7,32.8,19.3,7.1,25,0.56,81,0.469,53,0.434,0.541,0.548,6.9,4,14.3,1.8,16.6,0.26,0.43,0.48,9.4,116.6,101.8
Enes Kanter,Por,C,28.76,30,25.5,53,17.8,10.7,70,0.743,253,0.581,0,0,0.581,0.61,11.5,11.2,23.4,1.1,6.4,0.57,0.73,1.13,8.2,127.7,105.6
Luke Kennard,Lac,G,24.67,29,22,45.9,15.3,12.2,15,0.867,84,0.488,104,0.442,0.585,0.599,8,2.9,7.3,1.8,11.1,0.34,0.21,0.93,6.3,114,108.4
Maxi Kleber,Dal,F,29.07,18,25.7,53.4,10.1,9.5,20,0.95,23,0.348,64,0.453,0.592,0.637,6.8,5.3,11.4,1.4,7.4,0.28,0.78,0.56,5.8,128.4,108.6
Nathan Knight,Atl,F-C,23.43,9,6,12.4,23.4,13.6,8,0.875,13,0.462,9,0.333,0.477,0.549,3.1,1.6,14.1,0.1,2.9,0.22,0.33,0.44,5.3,109.1,102.6
Kevin Knox II,Nyk,F,21.54,23,16.2,33.8,15.9,11.9,12,0.833,47,0.404,66,0.379,0.5,0.52,5.3,2.1,6.7,0.7,6.7,0.35,0.26,0.7,4.9,100.1,103.7
John Konchar,Mem,G,24.92,17,17.2,35.8,11.3,10.3,18,0.889,39,0.513,23,0.304,0.492,0.551,4.5,3.8,11.9,1.2,8.8,1.06,0.29,0.47,6.4,118.2,104.3
Furkan Korkmaz,Phi,G-F,23.59,20,18.3,38,18.6,11.8,16,0.875,57,0.456,78,0.308,0.459,0.486,6.9,2.3,6.9,0.7,5.3,0.7,0.1,0.95,4.9,92.4,107.4
Luke Kornet,Chi,F-C,25.61,7,6.9,14.4,15.8,5.6,2,1,3,0.667,13,0.077,0.219,0.267,1.3,1.4,11.4,0.3,5,0.29,0.14,0.14,4.7,61.3,111.7
Rodions Kurucs,Bro,F,23.05,5,3.2,6.6,8.2,0,0,0,1,0,2,0.5,0.5,0.5,0.6,0.6,10.7,0.4,15.1,0,0,0,6.6,,
Rodions Kurucs,Hou,F,23.05,10,6.7,13.9,17.8,28.7,2,0.5,5,0.6,14,0.143,0.316,0.327,1.3,1,7.9,0.2,4.1,0.5,0.3,0.8,3.8,54.5,100.4
Kyle Kuzma,Lal,F,25.59,32,25.9,54,20.1,11.5,31,0.613,166,0.524,160,0.363,0.534,0.54,11.5,6.3,13.6,1.1,6.1,0.31,0.69,1.38,6.6,104.5,102.8
Jeremy Lamb,Ind,G-F,28.74,16,25.1,52.3,17.4,8.7,39,0.923,68,0.515,62,0.5,0.627,0.676,12.4,4.3,9.5,1.6,9.1,0.88,0.56,0.88,7,129.4,106.4
Zach LaVine,Chi,G-F,25.96,30,35.6,74.1,31,14.6,162,0.864,347,0.576,244,0.434,0.607,0.648,28.6,5.4,8.4,5.1,24.2,1.17,0.43,3.77,10.4,116.7,108.1
Jake Layman,Min,F,26.97,21,14.9,31,16.4,11.6,23,0.783,58,0.603,39,0.333,0.562,0.593,6,1.5,5.5,0.5,5.2,0.86,0.48,0.67,4.4,107.6,109.2
Jalen Lecque,Ind,G,20.7,3,2.9,6.1,26.2,0,3,1,3,0.333,1,0,0.25,0.47,1.7,1.3,25,0.7,29.9,0,0,0,16,,
Damion Lee,Gol,G-F,28.34,31,19.5,40.6,12.3,7.4,23,0.913,33,0.697,119,0.387,0.605,0.632,6.6,3.4,9.2,1.5,10.2,0.65,0.1,0.42,6.6,124.2,104.4
Saben Lee,Det,G,21.67,9,11.3,23.6,14.6,17.4,17,0.706,19,0.474,2,0,0.429,0.527,3.3,0.8,3.8,1.4,18.4,0.78,0.11,0.67,5.5,105.1,102.1
Alex Len,Tor,C,27.69,7,10.8,22.6,11.7,38.8,6,0.5,4,0.5,6,0.5,0.65,0.633,2.3,1.6,8,0.4,5.2,0.14,0.86,1.14,4.2,76.6,101.8
Alex Len,Was,C,27.69,15,15.1,31.4,17.2,18,28,0.607,52,0.75,13,0.231,0.669,0.673,6.9,3.9,13.6,1.2,11.9,0.47,1.2,1.13,8.4,117.4,102.6
Kawhi Leonard,Lac,F,29.66,25,34.8,72.4,30.2,7.7,156,0.885,354,0.548,126,0.389,0.557,0.613,26.9,6.1,9.9,4.9,23.8,1.68,0.6,1.84,10.7,124.6,108.3
Meyers Leonard,Mia,F-C,28.99,3,9.8,20.4,14.9,20.2,2,0.5,0,0,7,0.429,0.643,0.635,3.3,2.3,13.3,0.7,9.8,0,0,0.67,7.1,100.8,93.4
Caris LeVert,Bro,G,26.5,12,27.8,57.9,31.4,10.8,34,0.765,137,0.474,63,0.349,0.49,0.516,18.5,4.3,8.7,6,33.8,1.08,0.5,2.17,11.2,107.6,111.4
Kira Lewis Jr.,Nor,G,19.89,19,13.1,27.3,19.2,7.2,20,0.65,62,0.387,33,0.333,0.426,0.453,4.9,0.8,3.6,1.9,20.3,0.58,0.05,0.42,6,104.3,111.5
Damian Lillard,Por,G,30.61,29,35.8,74.5,32.6,11.9,223,0.933,283,0.523,316,0.38,0.548,0.62,29.8,4.3,6.4,7.9,37.4,1.03,0.24,3.24,11.2,124.8,116.7
Nassir Little,Por,F-G,21.03,15,10.8,22.5,17.2,13.7,17,0.882,24,0.542,25,0.56,0.694,0.735,5.5,2.1,10.1,0.2,2.7,0.2,0.33,0.6,4.9,131.8,112.7
Kevon Looney,Gol,F,25.05,21,14.6,30.5,9.9,18.1,13,0.692,48,0.646,5,0.4,0.642,0.656,3.7,4.1,14.8,1.8,16,0.33,0.29,0.62,8.3,135.2,100.2
Brook Lopez,Mil,C,32.9,31,26.9,55.9,15.3,8.5,51,0.824,121,0.579,135,0.356,0.555,0.585,10.5,5.1,10,0.6,2.9,0.52,1.35,0.84,4.7,116.2,107.1
Robin Lopez,Was,C,32.9,28,20.1,41.9,15.7,14,70,0.686,141,0.603,12,0.333,0.595,0.626,8.2,4.4,11.3,1,6.9,0.32,0.61,1.07,6.6,121.2,109.4
Kevin Love,Cle,F-C,32.46,2,23.2,48.3,21.5,12.9,5,0.8,9,0.333,9,0.333,0.417,0.47,9.5,6,14.4,2.5,15.8,0.5,0,1.5,9,97.9,114.8
Kyle Lowry,Tor,G,34.92,25,34.4,71.6,22.1,16.4,87,0.874,152,0.526,178,0.388,0.556,0.601,17.7,5.4,8.7,6.4,28.6,1.16,0.16,2.88,9.9,115.5,105.5
Timothe Luwawu-Cabarrot,Bro,G-F,25.8,32,19.4,40.5,16.4,9.8,24,0.75,71,0.465,131,0.382,0.535,0.55,7.3,2.4,6.9,1.3,8.8,0.66,0.16,0.72,5.8,108.7,109.3
Trey Lyles,San,F,25.3,14,11.8,24.6,11.1,0,15,0.6,21,0.667,15,0.267,0.556,0.575,3.5,3.1,13.5,0.5,5.6,0,0,0,6,127.9,110.5
Thon Maker,Cle,F-C,20,8,9.6,19.9,14.5,11.6,11,0.909,16,0.625,2,0,0.556,0.657,3.8,2.3,13.1,0.5,7.7,0.25,0.5,0.38,6.8,131.6,108.9
Theo Maledon,Okc,G,19.7,26,24.4,50.9,16.5,20.4,25,0.72,76,0.447,104,0.385,0.522,0.539,7.9,2.8,5.9,2.9,17,0.92,0.08,1.88,6.6,95.7,104.4
Karim Mane,Orl,G,20.77,6,9.3,19.4,10.5,21.8,4,1,7,0,2,0.5,0.167,0.325,1.2,1.7,9.2,0.2,2.3,0,0.17,0.5,3.2,59.4,110
Nico Mannion,Gol,G,19.95,6,6,12.5,19.7,11.9,4,0.25,4,0.25,9,0.222,0.308,0.305,1.5,1.3,11.6,2,42.9,0.33,0,0.33,10.5,87.9,95
Terance Mann,Lac,G-F,24.35,29,15.1,31.5,13.4,15,32,0.75,72,0.528,27,0.296,0.505,0.548,4.3,3.2,12,1.1,9.8,0.45,0.17,0.69,6.6,113.1,103.3
Boban Marjanovic,Dal,C,32.52,15,7.2,15,25.5,4.8,13,0.692,51,0.549,3,0,0.519,0.544,4.3,3.3,25.3,0.1,1.6,0,0,0.2,6.2,118,103.8
Lauri Markkanen,Chi,F-C,23.76,14,30.4,63.4,22.9,10.5,45,0.844,84,0.655,101,0.396,0.622,0.654,19.1,6.1,11,0.9,4.3,0.5,0.36,1.71,6.2,115.7,108.3
Naji Marshall,Nor,F,23.08,3,2.8,5.8,14.8,0,2,0.5,1,0,1,0,0,0.174,0.3,0.7,13.4,0.3,13.8,0,0,0,5.7,,
Kenyon Martin Jr.,Hou,F,20.13,7,9.8,20.5,21.2,14.6,5,0.4,23,0.391,4,0.25,0.389,0.394,3.3,2.7,14.6,0.6,8.7,0.29,0.71,0.71,7.1,85,99.3
Caleb Martin,Cha,F,25.41,23,15.8,32.8,17.2,11,25,0.56,69,0.507,50,0.3,0.483,0.496,5.6,2.8,9.5,1.3,11.3,0.87,0.35,0.7,6.9,102.5,107.8
Cody Martin,Cha,F,25.41,18,9,18.8,13.5,17.5,10,0.8,25,0.68,13,0.231,0.566,0.601,2.8,1.8,10.9,0.9,13.6,0.39,0,0.5,7.4,115.4,109.4
Kelan Martin,Ind,F,25.56,11,3.9,8.1,22.4,18.2,0,0,10,0.4,8,0.25,0.389,0.389,1.3,1,14.2,0,0,0.18,0,0.36,0,,
Frank Mason,Orl,G,26.89,4,19.8,41.3,17.3,15.6,7,0.714,19,0.368,5,0.4,0.417,0.462,6.3,3,7.8,3,21.7,0,0,1.25,7.8,98.6,107.8
Garrison Mathews,Was,G,24.33,22,16,33.3,14.5,3.2,43,0.907,20,0.45,81,0.395,0.564,0.638,7,1.5,5,0.5,3.8,0.77,0.18,0.18,4.3,130.8,107.6
Dakota Mathias,Phi,G,25.62,8,15.4,32.2,17.7,1.9,6,0.333,22,0.5,26,0.308,0.479,0.474,6,0.9,3.1,1.6,15,0.13,0.38,0.13,5.3,107.6,111.3
Wesley Matthews,Lal,G,34.36,25,21.2,44.1,10.2,8.8,15,0.8,22,0.5,85,0.353,0.523,0.546,5,1.6,4.3,1.2,7,0.48,0.4,0.44,4,112.2,104.2
Tyrese Maxey,Phi,G,20.3,29,16.9,35.1,23.2,7.8,25,0.88,183,0.497,54,0.278,0.479,0.502,8.6,1.9,6.3,1.8,16.3,0.52,0.1,0.72,7.3,103.9,107.1
Skylar Mays,Atl,G,23.47,12,7.2,15,19.5,7.6,10,0.9,17,0.471,15,0.4,0.531,0.591,3.6,0.7,5,0.8,17.6,0.33,0,0.25,7,124.1,113.8
Patrick McCaw,Tor,G,25.33,1,6.9,14.4,0,,0,0,0,0,0,0,,,0,0,0,1,17.5,0,0,0,0,,105.7
CJ McCollum,Por,G,29.43,13,33.8,70.5,28.4,4.4,45,0.844,117,0.513,143,0.441,0.594,0.62,26.7,3.9,6.1,5,26,1.31,0.31,1,9.5,130.2,114
T.J. McConnell,Ind,G,28.92,26,23.9,49.9,13.2,23.8,12,0.333,123,0.52,16,0.375,0.525,0.52,5.8,3.3,7.7,6.6,36.3,1.73,0.38,1.73,8.4,113.3,106.7
Jalen McDaniels,Cha,F-C,23.06,12,12.7,26.4,17.7,19,16,0.625,28,0.571,16,0.25,0.5,0.529,4.5,2.8,11.7,0.5,5.5,0.17,0,1,5.8,91.7,100.8
Jaden McDaniels,Min,F,20.4,25,19.3,40.2,14,13.2,19,0.474,59,0.407,71,0.38,0.496,0.499,5.5,3.5,9.6,1,6.9,0.36,1.08,0.84,5.6,96,104.1
Doug McDermott,Ind,F,29.14,28,26.2,54.5,19.6,9.1,44,0.795,161,0.627,121,0.355,0.587,0.607,13.1,4,8.5,1.4,7.7,0.25,0.07,1.07,6.4,114.7,110.1
Sean McDermott,Mem,F,24.31,8,15.7,32.7,10,13.5,6,1,8,0.625,15,0.333,0.543,0.605,3.9,1.5,5.2,0.5,4,0.13,0.25,0.5,3.6,114.8,115
JaVale McGee,Cle,C-F,33.1,22,15.1,31.5,24.8,14,44,0.591,130,0.485,16,0.313,0.483,0.505,7.6,5.4,20,1,10.9,0.5,1.09,1.23,9.1,99,98.4
Rodney McGruder,Det,G,29.57,8,7.9,16.5,16.6,16.4,3,1,12,0.5,7,0.429,0.553,0.591,3,1.1,7.8,0.8,14.8,0,0.13,0.5,7,110.7,112.5
Alfonzo McKinnie,Lal,F,28.43,15,3.3,6.8,17.6,5.1,4,0.5,11,0.636,6,0.667,0.765,0.746,1.9,1.1,18.4,0.1,3.2,0.07,0,0.07,7.2,,
Jordan McLaughlin,Min,G,24.87,19,18.5,38.6,16.4,15.4,10,0.8,82,0.415,29,0.379,0.455,0.472,5.7,2.3,6.7,4.8,37.3,0.95,0.16,1.11,8.6,108.8,113.3
Ben McLemore,Hou,G,28.03,21,15,31.2,20.2,14.1,18,0.722,32,0.469,88,0.318,0.475,0.496,6,2.1,7.6,1,9.4,0.57,0.05,1,6.2,92.1,105.2
Nicolo Melli,Nor,F,30.08,15,10.5,21.8,11.7,13.9,5,0.8,6,0.333,29,0.241,0.357,0.39,1.9,2,10.6,0.8,9.4,0.53,0.07,0.4,5.5,87.2,103
De'Anthony Melton,Mem,G,22.74,15,21.2,44.1,20.4,13.8,12,0.583,69,0.507,57,0.386,0.54,0.545,9.5,3.3,8.4,3,20.5,1,0.87,1.4,8.6,105.6,106.7
Sam Merrill,Mil,G,24.78,10,5.7,11.9,10.9,20.2,2,1,3,0,8,0.5,0.545,0.589,1.4,1.1,10,1,20.4,0.1,0,0.3,8.1,125.9,109.6
Chimezie Metu,Sac,F-C,23.93,11,6.5,13.5,23.7,15,9,0.667,27,0.519,3,0.333,0.517,0.545,3.4,2.1,17.5,0.5,10.4,0.27,0.55,0.55,9.4,108.2,105.1
Khris Middleton,Mil,F,29.54,31,33.2,69.2,24.2,14.3,105,0.895,296,0.547,167,0.431,0.583,0.623,20.5,6,9.5,5.7,24.8,1.13,0.16,2.74,10.7,119.6,104.8
Darius Miller,Okc,F,30.93,12,9.2,19.2,11.9,16.5,3,1,3,0.667,21,0.429,0.646,0.671,2.8,1.3,7.1,0.8,12.7,0.42,0.33,0.42,6.2,118.5,104.8
Paul Millsap,Den,F,36.04,26,23.9,49.7,16.9,10.4,59,0.695,111,0.604,78,0.41,0.608,0.63,10.4,5.2,12.3,1.7,9.6,0.81,0.5,0.96,7.6,124.7,107
Patty Mills,San,G,32.54,27,25.5,53,20.2,8,35,0.943,108,0.528,175,0.4,0.572,0.598,13.2,1.9,3.8,2.7,15.6,0.67,0.04,0.96,6.4,116.1,109.8
Shake Milton,Phi,G-F,24.41,23,24.5,51.1,24,10.9,80,0.875,171,0.503,79,0.316,0.494,0.556,13.8,1.9,4.3,3,18.3,0.7,0.17,1.52,7,111.7,106.6
Donovan Mitchell,Uta,G,24.46,29,33.6,70,31.8,12,150,0.833,317,0.461,252,0.389,0.515,0.56,24.5,4.4,6.9,5.2,25.8,0.97,0.34,3,9.8,112.8,104.8
Adam Mokoka,Chi,G,22.6,7,6.1,12.6,16.1,12.5,0,0,6,0.667,8,0.125,0.393,0.393,1.6,0.6,5.2,0.6,12.3,0.43,0.14,0.29,5.5,84.7,102.4
Malik Monk,Cha,G,23.05,17,21.3,44.3,20.6,12,24,0.792,62,0.419,81,0.469,0.58,0.602,10.9,2.8,7,1.7,12,0.29,0.12,1.24,7,110.5,112.1
E'Twaun Moore,Pho,G,32,17,16.2,33.8,17.1,14.2,10,0.8,63,0.524,23,0.261,0.488,0.509,5.4,1.9,6.4,1.6,13.5,0.71,0.18,0.88,6.3,101.5,104.7
Ja Morant,Mem,G,21.54,19,30.4,63.2,29.2,14.4,104,0.788,231,0.524,63,0.206,0.478,0.534,19.1,3.2,5.8,7.9,40.6,0.95,0.21,3,10.3,109.8,112.9
Juwan Morgan,Uta,F,23.86,13,5.1,10.5,10.7,12.3,3,0,4,0.75,9,0.333,0.577,0.524,1.2,1,10.5,0.2,6,0.23,0,0.15,4.9,106.3,91.8
Marcus Morris Sr.,Lac,F,31.48,23,25,52.1,20.5,7.9,39,0.897,115,0.409,114,0.5,0.579,0.609,13,3.9,8.7,0.9,5,0.52,0.26,0.91,5.7,117.1,107.6
Markieff Morris,Lal,F,31.48,26,15.5,32.2,13.6,11.1,20,0.75,35,0.514,68,0.309,0.481,0.51,4.4,3.3,11.8,0.8,7.1,0.19,0.23,0.54,5.8,103.5,98.4
Monte Morris,Den,G,25.66,29,26.3,54.8,16.5,5.9,49,0.714,156,0.551,94,0.372,0.554,0.574,10.8,2.2,4.9,3.4,17.8,0.62,0.24,0.59,6.6,123.3,115.8
Mychal Mulder,Gol,G,26.7,30,11.1,23.1,13.9,7.4,13,0.615,13,0.692,82,0.427,0.647,0.65,4.4,1,4.7,0.5,5.8,0.2,0.2,0.27,4.7,116.7,107.6
Dejounte Murray,San,G,24.43,27,30.4,63.3,23.2,10.1,58,0.81,285,0.488,89,0.315,0.484,0.512,15.1,7.2,12.2,5,25,1.56,0.07,1.67,10.7,105.4,103.1
Jamal Murray,Den,G,24,28,35,73,25,11,95,0.811,276,0.54,183,0.383,0.553,0.584,20.9,4.4,7.1,4.4,19.2,1.18,0.25,2.21,8.5,114.5,110.9
Mike Muscala,Okc,F-C,29.65,29,18.9,39.4,20.7,7.3,35,0.914,67,0.612,159,0.365,0.566,0.597,9.9,3.8,10.5,0.9,7.5,0.24,0.24,0.66,6.8,112.9,106
Svi Mykhailiuk,Det,G-F,23.71,29,15.4,32.1,18.9,10.7,24,0.875,40,0.525,124,0.323,0.494,0.524,6.3,1.9,6.8,1.2,12.1,0.62,0.14,0.72,6.3,102.8,110.5
Abdel Nader,Pho,F,27.41,15,12.7,26.4,19.6,10.9,18,0.778,40,0.575,26,0.385,0.576,0.609,6,2.1,9.1,0.9,10.6,0.33,0.13,0.6,7.1,112.3,103.8
Larry Nance Jr.,Cle,F-C,28.15,19,33.4,69.6,12.3,15.4,21,0.571,82,0.561,63,0.381,0.566,0.571,9.3,6.8,11.3,3.2,13.7,1.95,0.53,1.47,7,111.5,109.2
Aaron Nesmith,Bos,G-F,21.36,15,15.8,32.9,12.3,13.2,10,0.8,12,0.5,43,0.326,0.491,0.522,4.1,2.5,8.9,0.5,3.9,0.13,0.27,0.6,4.4,102.2,103
Raul Neto,Was,G,28.77,23,19.2,40,16.6,7.9,22,0.818,92,0.511,62,0.355,0.519,0.544,7.7,2.5,6.9,1.8,13.3,1.04,0.09,0.61,6.8,111.3,110.5
Georges Niang,Uta,F,27.69,31,13.1,27.3,17.6,12.6,5,1,43,0.535,101,0.366,0.545,0.554,5.2,2.3,9.2,0.7,8,0.35,0.1,0.68,6.2,105.9,98.4
Zeke Nnaji,Den,F-C,20.12,17,8.7,18.2,12.6,4.7,4,0.5,14,0.571,25,0.44,0.628,0.626,3,1.1,6.9,0.1,1.8,0.06,0.06,0.12,3.2,124,115.3
Nerlens Noel,Nyk,C-F,26.87,26,19.4,40.3,10.6,21.4,28,0.643,80,0.575,3,0,0.554,0.577,4.2,5.5,14.8,0.5,3.4,0.88,1.92,1,4.7,106.8,95.2
Jaylen Nowell,Min,G,21.63,17,15.1,31.4,24,6.2,28,0.786,73,0.493,51,0.333,0.496,0.532,8.5,1.5,5.4,0.8,8.8,0.41,0.24,0.53,5.7,106.3,108.2
Frank Ntilikina,Nyk,G,22.58,4,10.5,21.9,18.2,11.5,3,0.333,5,0.2,9,0.556,0.607,0.587,4.5,1,5,0.8,10.8,0.75,0,0.5,5.8,110.3,92.6
Kendrick Nunn,Mia,G,25.56,23,29.5,61.5,21.4,13.1,29,0.897,140,0.571,132,0.379,0.57,0.59,14.6,3.3,6.4,2.6,14.4,1.22,0.3,1.87,6.8,105.3,106.9
Jusuf Nurkic,Por,C,26.51,12,23.4,48.7,21,16.7,27,0.556,91,0.516,12,0.25,0.5,0.514,9.8,7.7,17.4,2.8,17.6,0.92,0.92,1.92,10.2,104,103.8
David Nwaba,Hou,G-F,28.11,25,23.5,48.9,16.3,7.1,55,0.673,128,0.586,56,0.268,0.53,0.557,9.3,3.9,8.7,1.1,7.2,1.12,0.72,0.64,5.8,114.1,104
Jordan Nwora,Mil,F,22.46,10,8.2,17.1,26.2,19.5,10,0.9,21,0.429,16,0.5,0.568,0.616,5.1,1.5,9.6,0,0,0.4,0.2,1,0,95.9,100.6
Semi Ojeleye,Bos,F,26.22,29,19.4,40.4,12,7.6,25,0.72,39,0.513,95,0.379,0.552,0.572,5.7,3,8.6,0.8,5.7,0.31,0,0.41,4.9,117.7,109.8
Jahlil Okafor,Det,C-F,25.19,12,10,20.8,17,8.5,2,0.5,39,0.641,3,0,0.595,0.595,4.3,2.3,12.5,0.3,4.4,0.17,0.17,0.33,5.7,116.6,108.5
Chuma Okeke,Orl,F,22.52,15,21.9,45.7,10.5,11.2,6,0.5,35,0.429,34,0.353,0.478,0.482,4.6,3.5,8.1,2.1,12.9,0.8,0.47,0.6,5.9,108,109.8
Josh Okogie,Min,G,22.48,25,19.3,40.2,13.1,11.4,38,0.763,67,0.433,49,0.204,0.379,0.441,4.7,2.5,6.9,1.1,7.5,0.84,0.56,0.68,4.9,95.6,108.7
Onyeka Okongwu,Atl,F-C,20.2,10,10.6,22.2,14.7,13.6,13,0.615,24,0.583,2,0,0.538,0.567,3.6,2.7,13.8,0.4,5.5,0.4,0.7,0.5,5.9,108.7,97.1
Isaac Okoro,Cle,F-G,20.08,26,33.3,69.4,12.5,15.5,48,0.667,110,0.473,81,0.284,0.453,0.483,7.9,2.5,4.2,1.8,7.7,1.19,0.42,1.5,3.9,94.5,111.2
KZ Okpala,Mia,F-G,21.83,16,10.7,22.3,10.8,19.2,6,0.333,12,0.417,19,0.368,0.5,0.49,2.1,1.3,6.5,0.4,4.8,0.19,0.13,0.5,3.8,86.4,103.3
Victor Oladipo,Ind,G,28.81,9,33.3,69.3,27,9.7,37,0.73,83,0.47,69,0.362,0.503,0.535,20,5.7,9.4,4.2,19.2,1.78,0.22,2,9.4,104.4,105
Victor Oladipo,Hou,G,28.81,11,30.9,64.4,29.9,10.9,36,0.75,120,0.442,77,0.299,0.444,0.475,18.4,4.8,8.2,4.9,26.8,1.09,0.55,2.36,9.8,95.6,105.6
Kelly Olynyk,Mia,F-C,29.85,30,26,54.1,17.8,13.2,26,0.769,80,0.663,179,0.33,0.546,0.56,10.1,5.7,12.3,2,12,0.77,0.63,1.37,7.5,104.8,101.1
Royce O'Neale,Uta,F,27.72,31,32.6,67.9,9.7,16.2,26,0.846,54,0.519,126,0.421,0.597,0.619,7.6,6.9,11.2,2.4,9.3,0.74,0.65,1.19,6.1,121.4,100.7
Miye Oni,Uta,G-F,23.56,24,7.8,16.2,9.4,17.2,6,0.833,5,0.2,26,0.346,0.468,0.505,1.4,1.7,11.7,0.3,4,0.13,0.17,0.29,4.6,105.9,96.5
Cedi Osman,Cle,F,25.88,31,26.7,55.5,20.2,8.5,45,0.778,144,0.438,191,0.33,0.47,0.493,11.3,3.5,7.4,2.7,15.6,0.94,0.1,1.06,7.1,104.1,110.7
Daniel Oturu,Lac,C,21.43,10,4.2,8.8,18.8,11.2,2,1,14,0.643,1,0,0.6,0.63,2,1.4,18.7,0.4,14.5,0,0.3,0.2,9.9,129.4,99.2
Kelly Oubre Jr.,Gol,F-G,25.21,31,29.9,62.2,22.4,8.4,95,0.726,235,0.489,170,0.324,0.488,0.519,15,5.9,10.4,1.4,6.9,1.29,0.77,1.32,6.7,101.5,104.8
Jabari Parker,Sac,F,25.95,2,12.5,25.9,17.1,30,0,0,6,0.667,1,0,0.571,0.571,4,3,13.1,0.5,5.6,0,0.5,1.5,5.8,82.4,104.5
Eric Paschall,Gol,F,24.3,28,17.9,37.3,22.9,8.5,71,0.732,180,0.539,36,0.333,0.532,0.57,10.1,3.4,10,1.4,11.8,0.18,0.11,0.82,8.1,111.5,105
Anzejs Pasecniks,Was,C-F,25.18,1,6.3,13.1,39.3,83.3,0,0,0,0,1,0,0,0,0,1,8.3,1,18.5,0,0,5,0,20.4,89.9
Patrick Patterson,Lac,F,31.95,10,13,27,15.9,15,4,0.75,10,0.6,28,0.357,0.553,0.566,4.5,2,8.7,0.5,5.2,0.3,0.1,0.7,5.1,102.8,104.8
Chris Paul,Pho,G,35.8,29,31.8,66.2,23.1,13.9,71,0.972,263,0.525,114,0.395,0.545,0.588,16.6,4.5,7.9,8.5,40.1,1.24,0.28,2.28,10.8,121.5,104.5
Cameron Payne,Pho,G,26.55,19,17.6,36.7,18.3,16.1,13,0.923,58,0.517,51,0.431,0.578,0.601,7.3,1.8,5.8,3.6,28.9,0.53,0.21,1.16,8.2,117.6,103.4
Elfrid Payton,Nyk,G,27,31,27.8,58,22.7,13.1,63,0.73,302,0.48,56,0.25,0.464,0.49,12.2,3.7,7,3.7,21.5,0.61,0.19,1.87,7.9,100.6,106.2
Norvel Pelle,Bro,C,28.06,3,9.3,19.3,15.6,30,0,0,7,0.429,0,0,0.429,0.429,2,2.3,14.1,0,0,0,1,1,0,76.1,84.8
Reggie Perry,Bro,F-C,20.93,14,10.5,21.9,19.2,16.9,9,0.667,38,0.5,12,0.167,0.44,0.463,3.6,3.7,19.8,0.9,10.8,0.14,0.36,0.79,8.7,99.5,96.6
Theo Pinson,Nyk,G-F,25.3,9,2.4,4.9,14.6,0,0,0,1,1,6,0,0.143,0.143,0.2,0.1,2.5,0,0,0,0,0,0,,
Mason Plumlee,Det,F-C,30.97,28,28.2,58.7,15.7,20.9,70,0.7,191,0.618,5,0,0.602,0.628,10.2,9,17.7,3.5,19.7,0.96,0.68,2.14,9.7,118.2,100
